112.11,109.02,112.02,109.13
112.08,113.97,112.55,112.83
113.91,115.42,114.82,114.54
112.73,112.70,114.09,111.42
115.30,113.75,116.11,114.58
114.40,115.87,116.14,114.38
116.91,116.98,117.97,116.67
116.38,115.28,115.65,115.46
116.71,117.63,117.81,117.14
117.62,116.07,118.38,116.79
117.17,116.86,117.30,116.88
116.96,115.68,117.39,115.75
115.75,115.14,115.63,114.45
117.82,116.29,118.16,117.11
116.83,119.35,118.45,117.59
116.23,117.45,117.33,116.11
114.91,116.85,117.29,114.46
116.89,116.73,117.61,115.66
116.58,115.62,116.87,116.37
116.04,115.33,115.95,114.74
118.47,116.55,118.52,117.09
119.32,117.10,118.56,117.27
120.78,119.17,120.83,118.65
119.86,118.80,119.83,118.70
119.21,122.00,119.42,120.44
119.00,122.22,119.74,121.04
120.96,117.57,120.86,117.63
117.27,120.59,119.44,117.24
122.66,119.53,122.64,119.81
119.96,123.56,120.57,121.96
120.15,121.83,121.24,121.16
121.37,118.41,119.97,121.58
122.51,120.76,122.63,120.53
123.85,122.54,124.44,122.38
123.03,121.90,123.18,121.57
121.42,120.33,121.22,120.32
121.57,122.20,121.75,120.98
128.54,127.25,130.81,127.61
128.32,128.19,129.71,128.38
129.63,128.65,128.99,128.54
130.07,130.07,129.40,129.67
132.37,130.04,132.42,131.39
132.59,131.69,132.02,131.60
134.25,133.10,134.71,132.83
133.36,133.87,134.53,133.60
133.08,132.48,133.41,132.41
136.23,134.29,136.40,133.99
136.72,136.34,137.58,135.36
135.99,135.64,136.45,135.14
135.07,136.08,136.13,135.28
136.20,136.38,136.12,135.59
137.78,135.76,138.00,136.22
135.95,138.33,137.84,136.49
136.08,136.86,137.02,135.47
136.35,138.09,137.79,136.47
137.40,137.28,137.81,136.83
140.06,139.12,140.93,138.59
138.13,142.11,140.41,139.92
139.20,139.73,140.19,138.78
138.84,139.52,139.14,138.21
139.39,139.11,140.16,139.78
139.82,137.73,139.35,138.65
137.85,140.85,138.92,138.22
139.41,140.48,140.13,139.64
140.02,137.63,138.98,138.65
139.26,140.53,140.43,139.84
139.63,141.52,140.88,140.19
140.37,140.51,140.01,138.49
140.45,141.51,141.57,141.48
142.93,139.80,142.00,140.57
138.22,143.82,144.10,139.23
139.80,141.56,142.90,139.26
139.30,142.97,142.88,140.11
140.14,142.91,141.72,141.20
140.77,138.94,140.51,138.35
146.72,142.43,146.86,142.62
147.04,145.20,147.31,145.19
146.85,145.71,147.32,145.50
143.55,143.27,143.56,142.74
143.43,143.24,143.89,142.56
144.81,143.24,144.74,143.21
143.27,145.19,146.03,144.45
142.91,145.26,145.09,144.09
143.02,143.17,143.84,143.09
142.81,143.67,142.94,142.54
140.09,142.28,142.82,137.22
140.26,140.94,141.62,138.17
140.30,142.22,142.61,141.09
141.08,141.79,142.11,140.91
140.57,141.34,142.20,141.35
140.16,142.35,141.96,139.79
144.20,140.56,143.84,141.87
141.75,142.91,142.64,141.19
145.01,144.56,145.22,144.51
145.90,144.97,146.17,145.20
142.83,145.03,144.30,142.88
143.90,143.38,143.72,143.24
143.51,144.26,144.44,143.23
149.51,146.11,150.10,146.65
148.44,149.98,148.98,148.72
