69.23,68.05,69.20,67.41
68.76,69.49,70.02,69.79
68.49,68.80,68.60,67.23
68.42,68.13,68.40,68.04
70.21,69.07,71.83,69.06
67.51,68.40,68.94,67.47
68.90,68.45,70.36,67.88
64.89,68.88,68.21,65.29
65.24,66.71,66.37,65.50
66.80,67.97,67.69,66.90
67.41,66.76,67.14,66.87
66.36,68.21,68.15,66.10
62.89,67.81,66.55,63.80
66.85,67.71,67.98,66.70
64.25,66.16,66.56,64.34
66.91,65.85,67.67,65.99
65.15,66.01,66.10,65.16
63.83,66.25,65.86,63.59
64.63,66.42,66.22,64.88
66.42,65.67,67.57,65.62
65.50,65.67,65.58,64.29
65.62,65.72,65.97,64.92
65.70,65.76,65.97,66.23
64.53,66.14,65.83,64.41
64.34,65.27,65.12,63.91
65.10,66.17,66.02,65.02
64.29,65.96,66.16,63.21
66.00,65.02,67.69,64.38
63.60,65.72,65.67,63.98
63.64,66.09,66.64,63.73
55.44,56.97,57.61,54.11
55.10,54.27,54.96,54.76
56.79,56.69,57.11,55.63
54.30,55.04,55.28,53.55
55.18,52.61,53.88,54.66
54.55,52.35,53.52,54.21
53.32,54.20,53.77,52.96
50.30,52.89,52.33,50.86
52.68,52.55,53.17,52.00
53.00,52.55,53.29,52.38
53.20,53.31,53.53,53.20
52.99,53.25,53.46,52.79
53.14,53.08,53.18,52.77
53.64,53.81,54.00,53.87
54.56,51.40,53.22,53.27
55.32,54.83,55.77,54.80
55.77,54.28,54.53,54.54
56.48,55.15,56.21,55.53
56.04,57.33,57.17,56.07
56.36,57.21,57.13,56.12
57.14,56.74,57.06,56.52
56.26,57.53,57.37,56.10
57.26,53.36,54.40,57.70
57.20,57.18,57.12,56.31
56.31,56.83,57.02,55.91
56.52,56.72,56.73,56.18
56.83,56.15,56.32,55.55
55.74,56.69,56.79,55.79
55.81,56.26,56.21,55.55
55.96,55.58,55.84,55.58
55.23,56.11,56.31,54.83
58.71,54.88,57.20,57.46
58.26,56.50,57.11,57.12
59.19,59.21,59.18,58.86
58.28,59.70,59.29,58.10
57.98,57.72,57.71,57.24
58.34,59.09,59.00,58.08
58.18,58.18,58.71,58.14
57.37,59.24,58.86,57.41
58.11,57.84,58.45,58.05
57.10,57.98,58.48,57.20
57.28,55.53,56.15,55.46
56.01,57.43,57.15,55.94
56.68,56.81,56.80,56.16
56.02,56.74,57.01,56.45
56.58,56.94,57.49,56.02
57.34,57.51,57.13,57.05
57.18,57.78,57.41,57.38
57.18,57.73,57.97,57.30
55.66,57.06,56.99,55.11
56.86,55.34,56.48,56.46
56.65,55.84,57.10,56.63
56.71,55.48,56.30,56.35
56.11,56.72,56.47,56.25
56.72,56.28,57.02,56.35
54.18,56.21,55.91,53.17
52.22,54.53,54.20,51.57
51.62,53.02,53.22,51.23
50.93,51.31,51.42,51.15
52.45,52.21,52.83,52.03
52.71,52.86,52.56,52.27
52.86,53.07,53.61,51.48
52.68,51.81,52.37,52.42
52.87,52.65,52.45,52.47
52.79,53.67,54.11,53.13
52.83,53.70,53.92,53.08
53.38,53.28,53.38,52.91
54.27,50.36,54.56,49.19
53.46,55.50,53.45,55.14
52.98,53.65,53.75,52.70
